"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20"
"AIC";c(7, 5, 8);c(7, 8, 6);5:7;c(6, 7, 11);c(5, 7, 8);c(8, 7, 11);c(8, 10, 6);c(4, 5, 7);c(4, 8, 7);c(8, 7, 5);c(8, 7, 9);8:10;7:9;c(7, 8, 10);7:9;8:10;c(9, 8, 11);7:9;c(8, 7, 10);c(7, 9, 8)
"BIC";c(2, 1, 3);1:3;c(1, 3, 2);c(2, 1, 3);3:1;1:3;1:3;1:3;c(1, 2, 4);1:3;7:9;c(8, 7, 9);7:9;7:9;7:9;8:10;8:10;7:9;7:9;7:9
"Sample_splitting30";1:3;1:3;c(1, 4, 2);c(6, 2, 4);3:1;c(1, 2, 4);c(2, 1, 3);c(1, 2, 6);c(2, 1, 3);c(1, 4, 2);c(8, 10, 9);c(7, 9, 8);7:9;c(8, 12, 10);c(6, 8, 7);c(8, 10, 9);c(7, 8, 10);c(7, 8, 11);10:8;c(9, 7, 8)
"Sample_splitting50";c(4, 6, 5);c(2, 7, 4);1:3;c(2, 5, 3);c(5, 6, 4);c(8, 10, 9);c(5, 3, 7);c(5, 8, 7);c(1, 3, 2);c(6, 5, 3);c(7, 12, 8);c(11, 7, 8);7:9;c(11, 12, 8);c(9, 7, 11);c(7, 9, 10);7:9;c(10, 7, 8);c(7, 8, 11);c(12, 9, 10)
"Sample_splitting70";1:3;c(7, 3, 2);1:3;c(11, 12, 9);c(7, 5, 9);c(6, 1, 2);c(2, 4, 5);c(11, 12, 4);1:3;c(12, 8, 6);c(8, 11, 10);c(11, 8, 12);c(11, 12, 7);c(10, 7, 8);c(12, 9, 8);c(12, 9, 11);6:8;c(11, 12, 7);c(9, 10, 8);c(8, 10, 7)
"Cross_validation5";c(7, 9, 8);c(5, 7, 10);c(7, 4, 10);c(12, 8, 5);c(11, 8, 10);c(10, 12, 8);c(5, 1, 2);c(3, 11, 4);c(1, 6, 12);c(7, 12, 9);c(11, 12, 8);12:10;12:10;c(11, 12, 10);c(12, 11, 7);12:10;12:10;12:10;12:10;c(12, 11, 8)
"Cross_validation10";c(10, 6, 9);c(3, 1, 9);c(3, 10, 4);c(11, 9, 7);c(10, 6, 8);c(12, 8, 9);c(6, 5, 2);c(6, 3, 4);c(9, 5, 8);c(1, 6, 9);12:10;c(12, 9, 11);c(9, 12, 10);c(12, 11, 9);c(11, 12, 10);c(11, 10, 12);c(11, 12, 9);c(9, 11, 10);c(12, 10, 11);c(12, 10, 11)
"Wesserstein_score";c(7, 9, 5);c(5, 6, 11);c(8, 6, 7);c(1, 12, 11);c(2, 3, 6);c(5, 10, 6);c(7, 6, 12);c(2, 4, 9);c(9, 8, 4);c(6, 4, 11);c(9, 12, 8);c(11, 7, 10);9:11;c(8, 7, 9);c(6, 10, 7);c(9, 12, 11);c(6, 12, 11);c(11, 12, 8);c(11, 9, 8);9:11
